# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAR2	AAR2	NM_001271874.2	protein_coding	0	0	0	10	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
AAR2	AAR2	NM_015511.5	protein_coding	0	0	0	10	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
AAR2	AAR2	XM_006723770.4	protein_coding	0	0	0	10	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
AAR2	AAR2	XM_011528762.3	protein_coding	0	0	0	10	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
AAR2	AAR2	XM_011528763.3	protein_coding	0	0	0	10	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
AAR2	AAR2	XM_047440082.1	protein_coding	0	0	0	10	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
ABALON	ABALON	NR_131907.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD12	ABHD12	NM_001042472.3	protein_coding	0	1	0	106	3	0	0	0	0	0	0	21	0	75	0	0	0	0	0	0	0	1	7
ABHD12	ABHD12	NM_015600.5	protein_coding	0	1	0	125	1	0	0	0	0	0	0	17	0	100	0	0	0	0	0	0	0	1	7
ABHD12	ABHD12	XM_011529214.3	protein_coding	0	1	0	106	3	0	0	0	0	0	0	21	0	75	0	0	0	0	0	0	0	1	7
ABHD12	ABHD12	XM_017027797.3	protein_coding	0	0	0	60	0	0	0	0	0	0	0	3	0	50	0	0	0	0	0	0	0	0	7
ABHD12	ABHD12	XM_047440087.1	protein_coding	1	0	0	100	2	0	0	0	0	0	0	23	1	68	0	0	0	0	0	0	0	0	7
ABHD12	ABHD12	XM_047440088.1	protein_coding	1	0	0	61	2	0	0	0	0	0	0	23	1	31	0	0	0	0	0	0	0	0	5
ABHD12	ABHD12	XM_047440089.1	protein_coding	0	1	0	67	3	0	0	0	0	0	0	21	0	38	0	0	0	0	0	0	0	1	5
ABHD12	ABHD12	XM_047440090.1	protein_coding	0	0	0	107	3	0	0	0	0	0	0	21	0	76	0	0	0	0	0	0	0	0	7
ABHD12	ABHD12	XM_047440091.1	protein_coding	1	0	0	61	2	0	0	0	0	0	0	23	1	31	0	0	0	0	0	0	0	0	5
ABHD12	ABHD12	XM_047440092.1	protein_coding	1	0	0	61	2	0	0	0	0	0	0	23	1	31	0	0	0	0	0	0	0	0	5
ABHD12	ABHD12	XM_047440093.1	protein_coding	0	1	0	67	3	0	0	0	0	0	0	21	0	38	0	0	0	0	0	0	0	1	5
ABHD12	ABHD12	XM_047440094.1	protein_coding	1	0	0	61	2	0	0	0	0	0	0	23	1	31	0	0	0	0	0	0	0	0	5
